rank,region,members,n_strains,axes,n_axes,n_universal_members,diversity_mean,effect_mean,culturability_mean,composite
14722,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Eubacterium_siraeum; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.209,0.212,0.78,0.5321
14723,西欧,Bifidobacterium_longum; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Eubacterium_siraeum,4,propionate+butyrate,2,1,0.218,0.212,0.838,0.5321
14724,西欧,Odoribacter_splanchnicus; Butyrivibrio_crossotus; Ruminococcus_lactaris; Turicibacter_sanguinis,4,propionate+butyrate+mucin,3,2,0.173,0.227,0.725,0.5321
14725,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_indistinctus; Ruminococcus_lactaris,5,propionate+mucin,2,2,0.158,0.221,0.86,0.5321
14726,西欧,Bacteroides_dorei; Butyrivibrio_crossotus; Eubacterium_siraeum; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,3,0.153,0.274,0.78,0.532
14727,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Eubacterium_eligens; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.17,0.165,0.83,0.532
14728,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Eubacterium_eligens; Turicibacter_sanguinis,5,propionate+mucin,2,1,0.178,0.265,0.87,0.532
14729,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Alistipes_indistinctus,5,propionate+mucin,2,2,0.149,0.239,0.92,0.532
14730,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum,4,propionate+butyrate+mucin,3,0,0.165,0.164,0.787,0.532
14731,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Ruminococcus_lactaris; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.22,0.157,0.71,0.532
14732,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Eubacterium_siraeum; Victivallis_vadensis,5,propionate+mucin,2,3,0.174,0.248,0.87,0.532
14733,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Eubacterium_siraeum; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+mucin,2,4,0.191,0.222,0.78,0.5319
14734,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Victivallis_vadensis,4,propionate+mucin,2,2,0.168,0.213,0.875,0.5319
14735,西欧,Bifidobacterium_animalis; Odoribacter_splanchnicus; Ruminococcus_lactaris; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.191,0.214,0.81,0.5319
14736,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_cellulosilyticus; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.16,0.267,0.9,0.5319
14737,西欧,Bifidobacterium_longum; Parabacteroides_goldsteinii; Eubacterium_eligens; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.171,0.239,0.87,0.5319
14738,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_dorei; Barnesiella_intestinihominis; Ruminococcus_lactaris,5,propionate+mucin,2,0,0.185,0.227,0.86,0.5319
14739,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.15,0.238,0.838,0.5319
14740,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Eubacterium_eligens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,1,0.126,0.261,0.84,0.5319
14741,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Turicibacter_sanguinis; Victivallis_vadensis,4,propionate+mucin,2,3,0.206,0.147,0.762,0.5319
14742,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Odoribacter_splanchnicus; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.16,0.193,0.86,0.5319
14743,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Parabacteroides_goldsteinii; Eubacterium_siraeum; Victivallis_vadensis,5,propionate+mucin,2,4,0.162,0.214,0.86,0.5319
14744,西欧,Barnesiella_intestinihominis; Eubacterium_siraeum; Turicibacter_sanguinis; Victivallis_vadensis,4,propionate+mucin,2,3,0.233,0.207,0.737,0.5319
14745,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,1,0.104,0.255,0.86,0.5318
14746,西欧,Bacteroides_dorei; Alistipes_indistinctus; Eubacterium_eligens; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+mucin,2,2,0.195,0.239,0.78,0.5318
14747,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Eubacterium_siraeum,3,propionate+mucin,2,2,0.168,0.244,0.917,0.5318
14748,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Bacteroides_salyersiae; Eubacterium_eligens,4,propionate+mucin,2,2,0.171,0.225,0.925,0.5318
14749,西欧,Bacteroides_dorei; Parabacteroides_goldsteinii; Eubacterium_eligens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.114,0.227,0.83,0.5318
14750,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.148,0.159,0.85,0.5318
14751,西欧,Bifidobacterium_animalis; Alistipes_putredinis; Butyrivibrio_crossotus; Eubacterium_siraeum,4,propionate+butyrate,2,2,0.179,0.285,0.85,0.5318
14752,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Ruminococcus_lactaris; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.199,0.192,0.762,0.5318
14753,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Eubacterium_eligens; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.164,0.233,0.86,0.5318
14754,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Alistipes_indistinctus; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.177,0.166,0.77,0.5318
14755,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Ruminococcus_lactaris,4,propionate+mucin,2,1,0.161,0.257,0.875,0.5318
14756,西欧,Bacteroides_dorei; Alistipes_indistinctus; Parabacteroides_goldsteinii; Turicibacter_sanguinis,4,propionate+mucin,2,3,0.136,0.195,0.825,0.5318
14757,西欧,Bifidobacterium_longum; Bacteroides_dorei; Alistipes_indistinctus; Parabacteroides_goldsteinii; Victivallis_vadensis,5,propionate+mucin,2,3,0.145,0.183,0.85,0.5317
14758,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,2,0.159,0.239,0.77,0.5317
14759,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Eubacterium_eligens; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.196,0.21,0.78,0.5317
14760,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.142,0.227,0.88,0.5317
14761,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Odoribacter_splanchnicus; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+mucin,2,2,0.196,0.18,0.8,0.5317
14762,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Eubacterium_siraeum; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.198,0.214,0.75,0.5317
14763,西欧,Bacteroides_dorei; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,3,propionate+butyrate+mucin,3,1,0.157,0.206,0.783,0.5317
14764,西欧,Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,1,0.157,0.241,0.77,0.5316
14765,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Bacteroides_intestinalis; Bacteroides_salyersiae,4,propionate+mucin,2,2,0.143,0.217,0.95,0.5316
14766,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Alistipes_indistinctus; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.171,0.234,0.8,0.5316
14767,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Odoribacter_splanchnicus; Eubacterium_siraeum; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.188,0.211,0.84,0.5316
14768,西欧,Bacteroides_dorei; Alistipes_indistinctus; Butyrivibrio_crossotus; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.121,0.228,0.77,0.5316
14769,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,3,0.091,0.223,0.85,0.5316
14770,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,0,0.204,0.172,0.77,0.5316
14771,西欧,Bacteroides_salyersiae; Alistipes_indistinctus; Eubacterium_siraeum; Turicibacter_sanguinis,4,propionate+mucin,2,4,0.179,0.219,0.812,0.5316
14772,西欧,Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Ruminococcus_lactaris; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,4,0.122,0.244,0.8,0.5316
14773,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Butyrivibrio_crossotus; Eubacterium_siraeum; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,3,0.127,0.239,0.84,0.5315
14774,西欧,Alistipes_indistinctus; Alistipes_putredinis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Victivallis_vadensis,5,propionate+butyrate,2,3,0.19,0.178,0.78,0.5315
14775,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Victivallis_vadensis; Fretibacterium_fastidiosum,4,propionate+mucin,2,2,0.193,0.15,0.725,0.5315
14776,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Odoribacter_splanchnicus; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.174,0.204,0.8,0.5315
14777,西欧,Bifidobacterium_animalis; Odoribacter_splanchnicus; Eubacterium_siraeum; Ruminococcus_lactaris,4,propionate+mucin,2,1,0.21,0.232,0.812,0.5315
14778,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_intestinalis; Intestinimonas_butyriciproducens; Eubacterium_eligens,5,propionate+butyrate+mucin,3,1,0.161,0.219,0.89,0.5315
14779,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Butyrivibrio_crossotus; Ruminococcus_lactaris,4,propionate+butyrate+mucin,3,1,0.12,0.27,0.838,0.5315
14780,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_dorei; Alistipes_putredinis; Victivallis_vadensis,5,propionate+mucin,2,1,0.184,0.204,0.86,0.5315
14781,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Alistipes_indistinctus; Eubacterium_siraeum; Victivallis_vadensis,5,propionate+mucin,2,4,0.18,0.202,0.84,0.5315
14782,西欧,Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,4,propionate+butyrate,2,2,0.209,0.174,0.75,0.5315
14783,西欧,Bifidobacterium_animalis; Eubacterium_eligens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.131,0.248,0.85,0.5314
14784,西欧,Bifidobacterium_longum; Bacteroides_dorei; Bacteroides_intestinalis; Parabacteroides_goldsteinii; Eubacterium_siraeum,5,propionate+mucin,2,3,0.146,0.23,0.92,0.5314
14785,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Alistipes_indistinctus; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+mucin,2,3,0.175,0.237,0.84,0.5314
14786,西欧,Bacteroides_intestinalis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+butyrate+mucin,3,3,0.144,0.179,0.78,0.5314
14787,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_indistinctus; Eubacterium_eligens; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.169,0.204,0.84,0.5314
14788,西欧,Bifidobacterium_longum; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Victivallis_vadensis,5,propionate+butyrate,2,2,0.205,0.166,0.79,0.5314
14789,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,1,0.134,0.275,0.82,0.5314
14790,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_dorei; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,1,0.139,0.213,0.91,0.5314
14791,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Odoribacter_splanchnicus; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.186,0.166,0.838,0.5314
14792,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Bacteroides_salyersiae; Alistipes_indistinctus; Parabacteroides_goldsteinii,5,propionate+mucin,2,4,0.124,0.189,0.91,0.5314
14793,西欧,Bacteroides_salyersiae; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Ruminococcus_lactaris,4,propionate+butyrate+mucin,3,3,0.104,0.23,0.825,0.5313
14794,西欧,Bacteroides_intestinalis; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Eubacterium_siraeum; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,5,0.119,0.241,0.83,0.5313
14795,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Eubacterium_eligens; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.189,0.239,0.85,0.5313
14796,西欧,Bifidobacterium_longum; Bacteroides_dorei; Bacteroides_intestinalis; Eubacterium_eligens; Victivallis_vadensis,5,propionate+mucin,2,2,0.188,0.217,0.87,0.5313
14797,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Odoribacter_splanchnicus; Fretibacterium_fastidiosum,4,propionate+mucin,2,2,0.167,0.148,0.838,0.5313
14798,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.135,0.217,0.89,0.5313
14799,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Eubacterium_siraeum; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.213,0.227,0.812,0.5313
14800,西欧,Bacteroides_dorei; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,2,0.122,0.24,0.81,0.5313
14801,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Bacteroides_salyersiae; Butyrivibrio_crossotus; Victivallis_vadensis,5,propionate+butyrate+mucin,3,4,0.125,0.212,0.86,0.5313
14802,西欧,Bifidobacterium_animalis; Alistipes_indistinctus; Turicibacter_sanguinis; Akkermansia_muciniphila,4,propionate+mucin,2,3,0.157,0.221,0.85,0.5313
14803,西欧,Odoribacter_splanchnicus; Eubacterium_eligens; Turicibacter_sanguinis; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.201,0.197,0.79,0.5312
14804,西欧,Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,1,0.151,0.172,0.75,0.5312
14805,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_intestinalis; Barnesiella_intestinihominis; Parabacteroides_goldsteinii,5,propionate+mucin,2,2,0.152,0.195,0.91,0.5312
14806,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Odoribacter_splanchnicus; Alistipes_indistinctus; Fretibacterium_fastidiosum,5,propionate+mucin,2,2,0.156,0.165,0.83,0.5312
14807,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Alistipes_indistinctus; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.151,0.234,0.86,0.5311
14808,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Odoribacter_splanchnicus; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,4,0.195,0.161,0.8,0.5311
14809,西欧,Alistipes_putredinis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Victivallis_vadensis,5,propionate+butyrate,2,3,0.198,0.203,0.79,0.5311
14810,西欧,Bacteroides_intestinalis; Eubacterium_eligens; Butyrivibrio_crossotus; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+butyrate+mucin,3,4,0.161,0.229,0.78,0.5311
14811,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Bacteroides_salyersiae; Victivallis_vadensis,5,propionate+mucin,2,3,0.165,0.213,0.89,0.5311
14812,西欧,Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Eubacterium_eligens; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,2,0.183,0.215,0.77,0.5311
14813,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Alistipes_indistinctus; Victivallis_vadensis,4,propionate+mucin,2,3,0.164,0.179,0.838,0.5311
14814,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Turicibacter_sanguinis,3,propionate+mucin,2,3,0.156,0.194,0.8,0.5311
14815,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Bacteroides_salyersiae; Turicibacter_sanguinis,4,propionate+mucin,2,3,0.16,0.234,0.875,0.5311
14816,西欧,Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,3,0.156,0.259,0.8,0.5311
14817,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Ruminococcus_lactaris; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.191,0.205,0.74,0.5311
14818,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Parabacteroides_goldsteinii; Eubacterium_eligens; Turicibacter_sanguinis,5,propionate+mucin,2,4,0.161,0.206,0.83,0.5311
14819,西欧,Intestinimonas_butyriciproducens; Eubacterium_siraeum; Ruminococcus_lactaris; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.162,0.227,0.78,0.5311
14820,西欧,Barnesiella_intestinihominis; Eubacterium_eligens; Butyrivibrio_crossotus; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.169,0.222,0.75,0.531
14821,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,4,0.087,0.195,0.82,0.531
14822,西欧,Bifidobacterium_animalis; Odoribacter_splanchnicus; Alistipes_indistinctus; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+mucin,2,2,0.198,0.182,0.77,0.531
14823,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Alistipes_indistinctus; Parabacteroides_goldsteinii; Turicibacter_sanguinis,5,propionate+mucin,2,4,0.139,0.199,0.85,0.531
14824,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Eubacterium_eligens; Eubacterium_siraeum,4,propionate+mucin,2,1,0.2,0.279,0.9,0.531
14825,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Butyrivibrio_crossotus; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+butyrate+mucin,3,4,0.139,0.222,0.8,0.531
14826,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Barnesiella_intestinihominis; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+mucin,2,1,0.187,0.222,0.8,0.531
14827,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Victivallis_vadensis,5,propionate+butyrate+mucin,3,3,0.133,0.159,0.84,0.531
14828,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,2,0.16,0.208,0.79,0.531
14829,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_intestinalis; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.162,0.25,0.94,0.531
14830,西欧,Bifidobacterium_longum; Alistipes_indistinctus; Alistipes_putredinis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens,5,propionate+butyrate,2,2,0.174,0.193,0.84,0.531
14831,西欧,Alistipes_indistinctus; Parabacteroides_goldsteinii; Eubacterium_eligens; Ruminococcus_lactaris,4,propionate+mucin,2,2,0.176,0.225,0.8,0.531
14832,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Ruminococcus_lactaris; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.162,0.262,0.84,0.531
14833,西欧,Bacteroides_cellulosilyticus; Butyrivibrio_crossotus; Ruminococcus_lactaris; Turicibacter_sanguinis,4,propionate+butyrate+mucin,3,2,0.136,0.286,0.762,0.5309
14834,西欧,Bacteroides_dorei; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.15,0.227,0.83,0.5309
14835,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Eubacterium_eligens; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+mucin,2,2,0.211,0.267,0.85,0.5309
14836,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,2,0.128,0.195,0.84,0.5309
14837,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Alistipes_indistinctus; Fretibacterium_fastidiosum,4,propionate+mucin,2,1,0.173,0.169,0.8,0.5309
14838,西欧,Bifidobacterium_animalis; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.139,0.261,0.83,0.5309
14839,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.174,0.191,0.79,0.5308
14840,西欧,Bacteroides_salyersiae; Parabacteroides_goldsteinii; Eubacterium_eligens; Eubacterium_siraeum,4,propionate+mucin,2,3,0.183,0.239,0.888,0.5308
14841,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Alistipes_indistinctus; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,3,0.2,0.178,0.77,0.5308
14842,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Alistipes_indistinctus; Eubacterium_siraeum; Turicibacter_sanguinis,5,propionate+mucin,2,5,0.173,0.218,0.84,0.5308
14843,西欧,Alistipes_indistinctus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus,4,propionate+butyrate,2,2,0.191,0.249,0.788,0.5308
14844,西欧,Bacteroides_salyersiae; Alistipes_putredinis; Eubacterium_eligens; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.197,0.207,0.78,0.5307
14845,西欧,Alistipes_indistinctus; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+butyrate+mucin,3,4,0.129,0.212,0.76,0.5307
14846,西欧,Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Eubacterium_eligens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,1,0.144,0.257,0.8,0.5307
14847,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Eubacterium_eligens; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.159,0.231,0.88,0.5307
14848,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Alistipes_putredinis; Fretibacterium_fastidiosum,4,propionate+mucin,2,0,0.154,0.196,0.838,0.5307
14849,西欧,Bacteroides_salyersiae; Eubacterium_siraeum; Ruminococcus_lactaris; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.184,0.246,0.82,0.5307
14850,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+butyrate+mucin,3,2,0.16,0.204,0.79,0.5307
14851,西欧,Bacteroides_salyersiae; Parabacteroides_goldsteinii; Eubacterium_eligens; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.146,0.199,0.87,0.5306
14852,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Eubacterium_eligens; Butyrivibrio_crossotus; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,3,0.145,0.245,0.84,0.5306
14853,西欧,Barnesiella_intestinihominis; Ruminococcus_lactaris; Victivallis_vadensis; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.196,0.191,0.75,0.5306
14854,西欧,Bifidobacterium_longum; Alistipes_putredinis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Eubacterium_siraeum,5,propionate+butyrate,2,2,0.182,0.219,0.85,0.5306
14855,西欧,Bifidobacterium_animalis; Alistipes_indistinctus; Alistipes_putredinis; Parabacteroides_goldsteinii; Ruminococcus_lactaris,5,propionate+mucin,2,2,0.167,0.209,0.82,0.5306
14856,西欧,Bacteroides_dorei; Eubacterium_eligens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,4,propionate+butyrate+mucin,3,1,0.133,0.248,0.812,0.5306
14857,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_putredinis; Ruminococcus_lactaris; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.175,0.2,0.8,0.5306
14858,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Eubacterium_eligens; Eubacterium_siraeum; Victivallis_vadensis,5,propionate+mucin,2,2,0.21,0.263,0.85,0.5306
14859,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Bacteroides_salyersiae; Odoribacter_splanchnicus; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.179,0.176,0.86,0.5306
